Organiser,phone number,Email
SBinc,7904954299,
Mr C Promotions,7947862190,mrcmusic2003@yahoo.co.uk
Diverse Nights,7939296977,info@diversenights.com
Club K Hounslow,4.42086E+11,info@nightclubk.com
UG ENTS UK,7507799990,
XclusiveTouch,7723387032,van@xclusivetouch.co.uk
XclusiveTouch,020 7734 9116,Julian@xclusivetouch.co.uk
Double O Promotions,,
HighRollers PR,7572680051,
Cokobar,7940269520,birthdays@cokobar.com
Happyf33t Promotions,,
West Coast Entertainment (UK),7984855999,
Prodigy Entertainmets,,
Cokobar,7940269520,help@cokobar.com
Frisky DJ,,info@TheShowTour.co.uk
Naughty Ents,7958552838,info@thisisgorgeous.com
LOL Show,07859 017 067,lol_show@hotmail.co.uk
World Comedy Clash,07967 304 210,gerpeace@gmail.com
Creating Role Models,+44 (0)7956 114 718,info@back2black.org.uk
Akwaabauk,07733 791988,info@themissghanauk.com
LOL Show,07859 017 067,lol_show@hotmail.co.uk
TCO,7590834117,Milkshake@ministryofsound.com
CleanLivingPR,07960 442 307,
Nexus Pr,7863630653,nexusshowcase@outlook.com
Promona Superfly,,
Leticia Toye PR,7870809965,leticiatoye@gmail.com
Mamaco,0207 428 0333,info@artsclubliverpool.com
Ace Entz,,Aceentz@hotmail.co.uk
Promona Superfly,,
CITY PARTIES ARE US,7950891616,info@londoncityparties.co.uk
Oh So Proud Hall Party,06 52 60 28 26,ohsoprettyparty@gmail.com
Notting Hill Arts Club,+44 20 7460 4459,info@nottinghillartsclub.com
XclusiveTouch,7723387032,van@xclusivetouch.co.uk
Ale Events,,
Lela's Lounge,+44 7904 401966,lelaslounge@gmail.com
FADED,7590438498,biggie@areyounotorious.com
PEGS,  ,brookesharkey@hotmail.co.uk
2bexquisite,+44 7543 373289,bookmatto@2bexquisite.com
Loops_Ent,+44 7852 191899,loopsent@gmail.com
Nigerian Independence City Soirée,07507 299 772,NCSparties@gmail.com
Ladies Night,096542 57050,
10 Mile Media,07471 568 708,info@tenmilemedia.com
tippa,07984 402 159,tippa.irie@gmail.com
Cokobar,7940269520,help@cokobar.com
Bigfoot Records & Entz,7508806572,naijapromoters@yahoo.co.uk
78 MONKEYS,07881 026 265,
Club K Hounslow,+44 20 8570 1306,info@nightclubk.com
The Doctor's Orders,+44 20 7833 9544,yo@thedoctorsorders.com
teeman production,,
Lotus Bar,7404466316,info@lotusbar.co.uk
ABM ENT,7841186405,BOOKING@ABM-ENTERTAINMENT.COM
SMADE,7949806892,smade_ent@yahoo.co.uk
A Star Entertainment,+44 7932 403027,naijapromoters@yahoo.co.uk
TCO,,events@trevornelson.com
City Nights,07903 050 817,cityvip@live.co.uk
CITY PARTIES ARE US,7950891616,info@londoncityparties.co.uk
CITY PARTIES ARE US,0790 467 1272,info@londoncityparties.co.uk
OC_Parties,7943534921,
AGMP,,adrian@agmp.co.uk
Good Vibes Ent,7846256158,comedyonthehill@live.co.uk
LOL Show,07859 017 067,lol_show@hotmail.co.uk
Good Vibes Ent,07846256158 ,comedyonthehill@live.co.uk
LOL Show,,
SO SOULFUL (Connoisseurs Of House),07851096069 ,sosoulful@hotmail.com
Juciee Nights,,jucieenights@outlook.com
Thats NANG,,a.george9@live.co.uk
ONO LDN,7729777807,info@onolondon.co.uk
XclusiveTouch,07723387032 , van@xclusivetouch.co.uk 
OBO SOUND, 0790 467 1272,
FIX LDN,07950399051,fixcasa@hotmail.com
Special Delivery,07931 046401,
SE7EN MUSIC / TST PROMOTIONS,07921 249 685 ,guestlist@se7enmusic.com
Red Carpet Events, 07903 050 817 ,
Real City Gents,07957290268 ,
Naijauk, 07733 791988,
THATthing!! The Over 25's Affair, 07525 159 555,thatthinginfo@gmail.com
Back to my Roots - the home of BANTU,2035989583, bookings@thebantugroup.com
Club K Hounslow,020 8570 1306,info@nightclubk.com
Noir Parties,7729777807,
Afrobeatsuk,7795901827,
THATthing!! The Over 25's Affair, 07525 159 555,thatthinginfo@gmail.com
The Party Shack Croydon,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,020 8570 1306
